product_id,name,category,price,cost,margin_pct,is_active,launch_date
129,Coffey-Phillips Smartwatche EJ-517,Smartwatches,550.4,54.77,90.0,True,2024-04-02
130,"Ramsey, Smartwatche YZ-851",Smartwatches,372.97,43.59,88.3,True,2023-05-09
131,Herrera-Gibson Smartwatche OX-496,Smartwatches,313.94,43.17,86.2,True,2023-10-03
132,"Hall, Smartwatche OP-859",Smartwatches,331.49,54.09,83.7,True,2023-07-25
133,"Colon, Camera CC-612",Cameras,1299.92,75.0,94.2,False,2024-08-02
134,Wilson-Young Camera DX-826,Cameras,1104.33,85.05,92.3,True,2026-02-22
135,"Horton, Camera FN-261",Cameras,1046.93,81.82,92.2,True,2025-01-10
136,Johnson-Wood Camera XG-773,Cameras,489.56,94.7,80.7,True,2026-03-18
137,Stephens-Levine Camera RM-506,Cameras,362.66,88.2,75.7,True,2023-10-24
138,Davis-Lewis Camera YV-900,Cameras,1035.35,96.13,90.7,True,2024-04-30
139,Buchanan Camera LN-183,Cameras,1433.9,72.51,94.9,True,2024-04-13
140,Schroeder-Kramer Camera JI-904,Cameras,705.77,84.26,88.1,True,2025-08-04
141,Lindsey-Rodriguez Camera WY-020,Cameras,1146.05,58.75,94.9,True,2024-04-21
142,"Morris, Camera VE-681",Cameras,1432.92,90.61,93.7,True,2025-04-26
143,Strickland-Palmer Camera ON-178,Cameras,1314.96,61.93,95.3,True,2023-06-24
144,"Logan, Camera EZ-700",Cameras,957.24,72.92,92.4,True,2025-02-08
145,"Rodriguez, Camera JE-159",Cameras,342.34,57.57,83.2,True,2023-10-31
146,Weber-Richards Camera HS-569,Cameras,959.44,75.89,92.1,True,2025-03-22
147,"Jacobs, Camera CO-836",Cameras,790.73,85.91,89.1,True,2025-01-19
148,Wilcox-Ross Camera UQ-156,Cameras,767.77,92.02,88.0,True,2024-05-17
149,Mckay-Mcdaniel Camera FF-711,Cameras,379.78,72.08,81.0,True,2025-02-16
150,Garner Camera LJ-280,Cameras,1239.08,72.27,94.2,True,2025-09-06
151,Santiago-Jenkins Camera MT-604,Cameras,1276.63,64.55,94.9,True,2024-10-15
152,Lane Camera GW-273,Cameras,786.82,62.84,92.0,True,2025-08-29
153,Wilson-Ramirez Camera XN-368,Cameras,635.98,62.63,90.2,True,2025-11-26
154,"Day, Camera RS-402",Cameras,367.7,55.75,84.8,True,2024-08-09
155,Bell-White Camera EJ-296,Cameras,459.23,58.98,87.2,True,2025-12-26
156,Davis Camera DV-366,Cameras,824.59,66.94,91.9,True,2023-12-18
157,Collins-Nguyen Camera DJ-991,Cameras,713.74,89.38,87.5,True,2023-12-18
158,"Williams, Camera CA-679",Cameras,177.32,94.44,46.7,True,2024-06-15
159,Fischer Gaming SR-561,Gaming,660.64,14.3,97.8,True,2026-03-06
160,"Tucker, Gaming AN-690",Gaming,626.4,13.54,97.8,True,2024-07-29
161,Saunders Gaming AF-451,Gaming,521.2,14.83,97.2,True,2025-02-14
162,Anderson Gaming QZ-388,Gaming,356.11,17.96,95.0,True,2024-10-19
163,Sanders Gaming DE-060,Gaming,289.53,14.38,95.0,True,2024-08-16
164,"Patterson, Gaming BU-416",Gaming,514.2,17.09,96.7,True,2024-01-09
165,"Stevens, Gaming BL-613",Gaming,686.08,18.15,97.4,True,2024-12-30
166,"Miller, Gaming EG-352",Gaming,425.57,18.04,95.8,True,2025-12-26
167,Schmidt Gaming PG-552,Gaming,316.17,10.88,96.6,True,2023-12-01
168,Gonzalez-Morrison Gaming DW-127,Gaming,203.3,11.73,94.2,True,2025-09-09
169,"Cole, Gaming JC-955",Gaming,255.13,14.11,94.5,True,2023-08-02
170,Ramos-Turner Gaming WG-490,Gaming,666.31,12.57,98.1,True,2023-08-11
171,Murray-Johnson Gaming PF-541,Gaming,344.11,17.41,94.9,True,2025-11-28
172,"Hunter, Gaming PM-079",Gaming,666.79,10.6,98.4,True,2024-08-29
173,"Alvarez, Gaming GP-151",Gaming,670.38,10.75,98.4,True,2024-01-11
174,Wright Gaming NK-788,Gaming,194.68,10.42,94.6,True,2024-11-03
175,Hardin-Hughes Gaming YO-590,Gaming,188.83,15.56,91.8,True,2026-01-17
176,Jones-Davis Gaming UQ-644,Gaming,664.0,11.15,98.3,True,2025-11-09
177,Cook Gaming PS-254,Gaming,276.16,12.38,95.5,True,2026-02-09
178,Anderson-Fletcher Gaming YP-148,Gaming,510.3,18.53,96.4,True,2024-09-09
179,Santiago Gaming GX-816,Gaming,237.4,11.57,95.1,True,2023-05-16
180,Parker-Bean Gaming OI-573,Gaming,414.78,18.23,95.6,True,2023-12-14
181,Phillips Gaming CQ-888,Gaming,659.79,13.42,98.0,True,2024-09-22
182,"Anderson, Gaming CA-927",Gaming,585.48,15.3,97.4,True,2024-11-03
183,"Ball, Gaming PT-738",Gaming,231.06,16.22,93.0,True,2025-04-15
184,Richardson Gaming XY-774,Gaming,562.47,17.16,96.9,True,2025-06-07
185,"Barnes, Gaming DP-924",Gaming,385.94,10.51,97.3,True,2025-05-03
186,Spencer-Garcia Gaming FW-814,Gaming,462.85,10.75,97.7,True,2023-12-23
187,Cole-Palmer Gaming CW-613,Gaming,357.44,13.8,96.1,True,2023-05-29
188,Brown-Shaw Gaming XO-361,Gaming,626.36,13.3,97.9,True,2023-05-31
189,Galvan-Combs Gaming CS-522,Gaming,147.01,11.48,92.2,True,2025-04-20
190,"Guerra, Gaming BQ-901",Gaming,441.66,15.81,96.4,True,2024-03-18
191,Dunn Accessorie HX-986,Accessories,66.1,2.45,96.3,True,2024-07-08
192,Turner Accessorie DE-369,Accessories,23.17,2.23,90.4,False,2023-10-07
193,Carlson-Smith Accessorie TJ-893,Accessories,38.36,2.17,94.3,True,2024-07-13
194,Smith-Gomez Accessorie QQ-962,Accessories,54.45,2.6,95.2,True,2023-08-28
195,"Villegas, Accessorie BY-888",Accessories,29.05,2.49,91.4,True,2025-04-17
196,Reid Accessorie YE-405,Accessories,24.12,2.28,90.5,True,2024-10-04
197,Quinn Accessorie IC-195,Accessories,70.13,2.64,96.2,True,2024-10-16
198,"Morgan, Accessorie ZI-772",Accessories,19.14,2.52,86.8,True,2023-07-25
199,"Parsons, Accessorie UT-030",Accessories,46.08,2.36,94.9,True,2025-06-26
200,Hays-Daniels Accessorie SW-403,Accessories,57.68,2.46,95.7,True,2023-07-01
201,"Rivera, Accessorie VL-676",Accessories,26.77,1.78,93.4,True,2025-05-27
202,"Jimenez, Accessorie BM-161",Accessories,54.13,2.11,96.1,True,2024-01-23
203,"Carter, Accessorie MT-447",Accessories,30.44,2.58,91.5,False,2025-02-07
204,Norris Accessorie NB-705,Accessories,31.03,2.58,91.7,True,2024-06-17
205,"Whitney, Accessorie ZV-658",Accessories,22.06,2.21,90.0,True,2026-03-08
206,Cisneros Accessorie IE-970,Accessories,59.97,2.22,96.3,False,2024-04-18
207,"Diaz, Accessorie XX-927",Accessories,19.17,2.79,85.4,True,2025-03-07
208,Berry Accessorie PR-565,Accessories,48.63,2.16,95.6,True,2024-05-09
209,Johnson Accessorie JH-786,Accessories,77.56,2.65,96.6,True,2024-05-28
210,Padilla-Lewis Accessorie MH-947,Accessories,31.71,2.19,93.1,True,2023-11-14
211,Hayes Accessorie QW-715,Accessories,14.37,2.81,80.4,True,2023-07-27
212,"Daniels, Accessorie OH-258",Accessories,26.62,1.83,93.1,False,2024-02-24
213,Young Accessorie KX-058,Accessories,60.71,2.71,95.5,True,2025-04-13
214,"Anderson, Accessorie AX-678",Accessories,26.04,1.77,93.2,True,2025-01-13
215,"Jones, Accessorie WI-778",Accessories,76.45,2.26,97.0,True,2025-08-21
216,"Matthews, Accessorie HJ-801",Accessories,13.44,3.04,77.4,True,2024-08-02
217,Martin Accessorie SF-358,Accessories,47.7,2.49,94.8,True,2024-05-11
218,Reid Accessorie NI-424,Accessories,65.02,1.98,97.0,False,2023-09-10
219,"Davidson, Accessorie VK-299",Accessories,23.37,1.88,92.0,True,2023-06-20
220,Miller Accessorie XK-943,Accessories,49.11,2.37,95.2,True,2025-01-24
221,"Fowler, Accessorie PZ-447",Accessories,33.15,2.91,91.2,True,2026-03-17
222,Evans-Jones Accessorie AE-027,Accessories,48.55,2.2,95.5,True,2025-04-08
223,Peterson Accessorie ZI-555,Accessories,9.46,2.6,72.5,False,2024-11-13
224,"Hoffman, Accessorie JG-473",Accessories,61.44,1.9,96.9,True,2023-07-05
225,Dougherty-Lin Accessorie UK-632,Accessories,11.01,2.15,80.5,True,2024-08-15
