cohort_month,cohort_size,period_number,retained_customers,retention_pct
2022-08,205,10,17,8.3
2022-08,205,11,22,10.7
2022-08,205,12,18,8.8
2022-08,205,13,13,6.3
2022-08,205,14,16,7.8
2022-08,205,15,14,6.8
2022-08,205,16,18,8.8
2022-08,205,17,18,8.8
2022-08,205,18,18,8.8
2022-08,205,19,13,6.3
2022-09,198,0,198,100.0
2022-09,198,1,39,19.7
2022-09,198,2,28,14.1
2022-09,198,3,16,8.1
2022-09,198,4,12,6.1
2022-09,198,5,15,7.6
2022-09,198,6,18,9.1
2022-09,198,7,20,10.1
2022-09,198,8,18,9.1
2022-09,198,9,13,6.6
2022-09,198,10,10,5.1
2022-09,198,11,16,8.1
2022-09,198,12,13,6.6
2022-09,198,13,11,5.6
2022-09,198,14,18,9.1
2022-09,198,15,18,9.1
2022-09,198,16,16,8.1
2022-09,198,17,18,9.1
2022-09,198,18,18,9.1
2022-10,232,0,232,100.0
2022-10,232,1,48,20.7
2022-10,232,2,22,9.5
2022-10,232,3,19,8.2
2022-10,232,4,14,6.0
2022-10,232,5,17,7.3
2022-10,232,6,20,8.6
2022-10,232,7,20,8.6
2022-10,232,8,22,9.5
2022-10,232,9,19,8.2
2022-10,232,10,9,3.9
2022-10,232,11,22,9.5
2022-10,232,12,17,7.3
2022-10,232,13,18,7.8
2022-10,232,14,19,8.2
2022-10,232,15,15,6.5
2022-10,232,16,20,8.6
2022-10,232,17,14,6.0
2022-11,259,0,259,100.0
2022-11,259,1,40,15.4
2022-11,259,2,26,10.0
2022-11,259,3,22,8.5
2022-11,259,4,19,7.3
2022-11,259,5,19,7.3
2022-11,259,6,26,10.0
2022-11,259,7,15,5.8
2022-11,259,8,23,8.9
2022-11,259,9,22,8.5
2022-11,259,10,20,7.7
2022-11,259,11,17,6.6
2022-11,259,12,20,7.7
2022-11,259,13,16,6.2
2022-11,259,14,19,7.3
2022-11,259,15,25,9.7
2022-11,259,16,23,8.9
2022-12,255,0,255,100.0
2022-12,255,1,59,23.1
2022-12,255,2,36,14.1
2022-12,255,3,27,10.6
2022-12,255,4,32,12.5
2022-12,255,5,19,7.5
2022-12,255,6,27,10.6
2022-12,255,7,28,11.0
2022-12,255,8,24,9.4
2022-12,255,9,30,11.8
2022-12,255,10,22,8.6
2022-12,255,11,25,9.8
2022-12,255,12,25,9.8
2022-12,255,13,27,10.6
2022-12,255,14,22,8.6
2022-12,255,15,29,11.4
2023-01,245,0,245,100.0
2023-01,245,1,38,15.5
2023-01,245,2,25,10.2
2023-01,245,3,19,7.8
2023-01,245,4,22,9.0
2023-01,245,5,23,9.4
2023-01,245,6,16,6.5
2023-01,245,7,23,9.4
2023-01,245,8,28,11.4
2023-01,245,9,17,6.9
2023-01,245,10,25,10.2
2023-01,245,11,27,11.0
2023-01,245,12,22,9.0
2023-01,245,13,20,8.2
2023-01,245,14,21,8.6
2023-02,276,0,276,100.0
2023-02,276,1,65,23.6
2023-02,276,2,35,12.7
2023-02,276,3,21,7.6
2023-02,276,4,23,8.3
2023-02,276,5,19,6.9
2023-02,276,6,30,10.9
2023-02,276,7,22,8.0
2023-02,276,8,24,8.7
2023-02,276,9,20,7.2
2023-02,276,10,22,8.0
2023-02,276,11,20,7.2
2023-02,276,12,24,8.7
2023-02,276,13,26,9.4
2023-03,283,0,283,100.0
2023-03,283,1,40,14.1
2023-03,283,2,32,11.3
2023-03,283,3,36,12.7
2023-03,283,4,23,8.1
2023-03,283,5,29,10.2
2023-03,283,6,26,9.2
2023-03,283,7,27,9.5
2023-03,283,8,26,9.2
2023-03,283,9,31,11.0
2023-03,283,10,29,10.2
2023-03,283,11,26,9.2
2023-03,283,12,28,9.9
2023-04,295,0,295,100.0
2023-04,295,1,56,19.0
2023-04,295,2,37,12.5
2023-04,295,3,36,12.2
2023-04,295,4,32,10.8
2023-04,295,5,37,12.5
2023-04,295,6,35,11.9
2023-04,295,7,30,10.2
2023-04,295,8,31,10.5
2023-04,295,9,34,11.5
2023-04,295,10,26,8.8
2023-04,295,11,29,9.8
2023-05,327,0,327,100.0
2023-05,327,1,59,18.0
2023-05,327,2,47,14.4
2023-05,327,3,31,9.5
2023-05,327,4,28,8.6
2023-05,327,5,28,8.6
2023-05,327,6,31,9.5
2023-05,327,7,45,13.8
2023-05,327,8,34,10.4
2023-05,327,9,35,10.7
2023-05,327,10,29,8.9
2023-06,342,0,342,100.0
2023-06,342,1,68,19.9
2023-06,342,2,48,14.0
2023-06,342,3,47,13.7
2023-06,342,4,47,13.7
2023-06,342,5,43,12.6
2023-06,342,6,47,13.7
2023-06,342,7,46,13.5
2023-06,342,8,44,12.9
2023-06,342,9,48,14.0
2023-07,338,0,338,100.0
2023-07,338,1,68,20.1
2023-07,338,2,43,12.7
2023-07,338,3,41,12.1
2023-07,338,4,37,10.9
2023-07,338,5,45,13.3
2023-07,338,6,43,12.7
2023-07,338,7,45,13.3
2023-07,338,8,53,15.7
2023-08,384,0,384,100.0
2023-08,384,1,80,20.8
2023-08,384,2,60,15.6
2023-08,384,3,37,9.6
2023-08,384,4,46,12.0
2023-08,384,5,40,10.4
2023-08,384,6,39,10.2
2023-08,384,7,51,13.3
2023-09,353,0,353,100.0
2023-09,353,1,69,19.5
2023-09,353,2,44,12.5
2023-09,353,3,40,11.3
2023-09,353,4,33,9.3
2023-09,353,5,37,10.5
2023-09,353,6,40,11.3
2023-10,401,0,401,100.0
2023-10,401,1,67,16.7
2023-10,401,2,75,18.7
2023-10,401,3,55,13.7
2023-10,401,4,67,16.7
2023-10,401,5,60,15.0
2023-11,427,0,427,100.0
2023-11,427,1,91,21.3
2023-11,427,2,74,17.3
2023-11,427,3,56,13.1
2023-11,427,4,62,14.5
2023-12,470,0,470,100.0
2023-12,470,1,114,24.3
2023-12,470,2,85,18.1
2023-12,470,3,93,19.8
2024-01,538,0,538,100.0
2024-01,538,1,123,22.9
2024-01,538,2,102,19.0
2024-02,544,0,544,100.0
2024-02,544,1,154,28.3
2024-03,409,0,409,100.0
